Mapping To Taxonomy Leafs,Mapping To Taxonomy Leaf ID,Mapped To Taxonomy-Root Category,Rejection Reasons
Bring potential risks which outweigh their value,C2,Risky or with Limited/Unclear benefits,Refactoring contributions should be a clearly defined improvement which does not change behavior. Such as renaming or moving classes. Changes with potential side effects should be minimalistic and done in a separate PR.
Lead to disagreement on overall benefit of refactoring,C4,Risky or with Limited/Unclear benefits,Refactoring phase is not considered as critical as testing phase.
"Lead to disagreement on overall benefit of refactoring, Are obsolete","C4, P1","Risky or with Limited/Unclear benefits, Change",Refactorings taht are just plain unneeded or unwanted.
Conflict with planned code changes,C7,Risky or with Limited/Unclear benefits,Rejected due to various upcoming ballerina changes
Are inactive: (author/community),P19,Planning,"Repository admin is simply unresponsive or the project is un-officially dead, without proper notification or documentation, therefore no pull requests are actioned."
Bring potential risks which outweigh their value,C2,Risky or with Limited/Unclear benefits,"Risk of breaking existing code (already mentioned in survey questions)
"
Do not fully address the code quality issues,C25,Additional work needs to be performed,Same refactoring concept are not applied to all applicable places.
Have reviewers who are unwilling to review and accept major code change,P15,Reviewer,"Similar to ""change software behavior / original design"" or ""readability"", some maintainers reject contributions they don't feel comfortable introducing in the code base, wether the don't appreciate the new design or not enough knowledge to understand a more idiomatic approach. The latter is more common in functional programming languages, as idiomatic algorithms are not as straightforward to understands as imperative algorithms."
,,,"Some Other remark: your process of selecting participants is not 100% working. I got chosen because of a seemingly rejected PR in Signal-Android. But thats the way they Merge the code, they dont merge the PR but Just Push the Commit and Close the PR. You might have a Look Into that."
Are too large,P12,PR size and content,Sometimes they grow too big
Lead to disagreement on overall benefit of refactoring,C4,Risky or with Limited/Unclear benefits,The benefits aren't understood / the value underestimated.
"Do not have upfront contact/discussion, Lead to disagreement on overall benefit of refactoring","P20, C4","Planning, Risky or with Limited/Unclear benefits",The maintainers and the contributor can see what “better” code looks like differently and contributors often fail to check on whether a certain type of change would even be considered before submitting them.
"Are not in the community interest, Opt for personal preferences over measured quality increase","C6, P9","Risky or with Limited/Unclear benefits, Contributor","The most often reason we reject contributions is that the person has tried to solve a problem for themselves and do not know how to make this general to wider audience.

We always aim to ake sure the code in our graphql-java library is widely  applicable - at the expense of solving some specific problems (like json handling / web handling ) more easily."
"Bring potential risks which outweigh their value, Need additional testing, Require high review cost/Do not have available reviewers, Are too large","C2, C24, P14, P12","Risky or with Limited/Unclear benefits, Additional work needs to be performed, Reviewer, PR size and content","there are two main reasons and they are not clearly listed above:
 - refactoring is risky in certain cases (e.g. insufficient test coverage)
 - refactoring is expensive - reviewing refactoring changes is time-consuming, especially if they touch many files
 

 But in my experience, at work refactoring is very rarely rejected. Once someone takes times to refactor something it almost always gets merged (possibly after some tweaks to address issues). Rejected refactoring is a non-issue."
Are too large,P12,PR size and content,"To big commit (to many files) with more than one reason for change, e.g. rename variable1 and fix typo and ... some hidden changes?"
"Are too large, Are not cohesive - tangled change, Require high review cost/Do not have available reviewers, Need additional testing","P12, P11, P14, C24","PR size and content, PR size and content, Reviewer, Additional work needs to be performed","Too large for convenience: change touches a lot of code or changes something fundamental, would require extensive reviewing and testing."
Contain choices of non-optimal design solutions,C17,Poor design and implementation decisions,"Unknown.  Refactoring merge requests I make through work are generally accepted, though rare, and I have made exactly one refactoring merge request to an open source project, which I voluntarily closed after discovering a better approach."
,,,UTF-8 chars in commit message ;)
"Are inactive: (author/community), Are too large, Have reviewers who are unwilling to review and accept major code change","P19, P12, P15","Planning, PR size and content, Reviewer","two other reasons, (1) is probably the main reason of all reasons.
 

 (1) Abandoned project and the owner probably doesn't even look at it.
 (2) ""this is massive and this is only my hobby project and i don't really want to have to understand it"""
"Have reviewers who do not focus on long-term benefits or sustainability of software quality, Have reviewers who negatively perceive changes to code they own, Do not fully address the code quality issues","P17, P16, C25","Reviewer, Reviewer, Additional work needs to be performed","This ignores the social dimension which often has a bigger impact than the technical.
 

 When it comes to reasons that prevent any non maintainer PRs the elephant in the room is still that design by committee is a poor way to move towards a steadily improving solution. There is politics more then technical reasoning. Conway's law in action. People defend their interests or the ones they think the company has they are working for. This isn't in the interest of the project, maintainability, or any other technical aspect.
 

 Second big reason that PRs do not happen is attitude. Most projects aren't really thankful for contributions. They treat PRs as if you attack them, not that you making a gift. You will be asked to do all kinds of style related changes. They forget its a gift, be thankful and do the style changes themselves. In such a environment you must be either paid to do the PR or be really, really desperate."
Lead to ripple effects,C18,Poor design and implementation decisions,"Ripple effect. One of the biggest factors, because one refactoring task often leads to opening other tasks."
"Require high review cost/Do not have available reviewers, Bring potential risks which outweigh their value, Opt for personal preferences over measured quality increase, Need additional testing, Are stylistic changes with no clear benefit, Introduce bugs/break APIs/breaks compatibility, Lead to disagreement on overall benefit of refactoring, Do not implement recommended changes, Do not consider code ownership and licensing issues, Are too large","P14, C2, P9, C24, C5, C8, C4, P7, P8, P12","Reviewer, Risky or with Limited/Unclear benefits, Contributor, Additional work needs to be performed, Risky or with Limited/Unclear benefits, Negative Effect On Functional/Non Functional Software Properties, Risky or with Limited/Unclear benefits, Contributor, Contributor, PR size and content","* Refactoring should provide more value than the time spent on its review and potential time spent by other engineers using VCS blame to find the last change that touched a particular line. For example, a change that reorders some helper functions in a file to increase readability probably does not meet this criterion: with modern IDEs, most engineers don't care where a function is defined; VCSs work bad with code moves, so will require extra effort to see that there are actually no changes in the moved functions; and everyone trying to find the last commit changing a function will instead find the reordering commit and will have to skip it manually.
 * Refactoring should be driven by real code change requirements, not an abstract sense of beauty. It allows the author to show why the refactoring is needed (i.e. ""I want to change X, and without this refactoring it will be worse, because Y""). It also facilitates moving the discussion from personal opinions to real problems and their solutions.
 * Refactoring the code that does not have good test coverage is hard and dangerous: refactoring often changes the behaviour of edge cases or can even break the normal code flow. I believe it's okay to require an improvement to the test coverage before a complex refactoring and reject the refactoring if the author disagrees or does not want to spend time on it.
 * Potential code ownership and licensing issues should be considered if refactoring introduces new dependencies (by adding a new library). Even though using an external helper library might be a good medium-term solution, time spent upstreaming required changes or, in the worst case, maintaining a custom fork of the library, might be not worth it. Using a helper library under an overly restrictive license (such as GPL) might cause legal problems in the future or limit possible deployment options.
 * If a refactoring contains multiple large steps (e.g. introduce a new API, migrate all calls, and remove the old API), the author has to prove that they will dedicate enough time to drive the refactoring to completion. Otherwise there is a risk of making the situation worse (e.g. by having two parallel implementations or two similar APIs and no defined migration plan) or forcing other engineers to pick up the work.
 * Refactoring changes should be easy to review: split into multiple small changes when it makes sense, have good descriptions that clearly describe why and how the refactoring is done."
"Decrease readability/understandability, Lead to disagreement on overall benefit of refactoring, Bring potential risks which outweigh their value","C11, C4, C2","Negative Effect On Functional/Non Functional Software Properties, Risky or with Limited/Unclear benefits, Risky or with Limited/Unclear benefits","While working at Google, I personally mostly encountered refactoring pool requests that were rejected either due to them either worsening readability, or not really improving anything objectively, or being risky. However, in my experience, rejected requests happen rather rarely. Most of the time both author and the reviewer(s) work together and come with a good solution."
